#,accuracy_type,name,address,lat,lon,google_maps,website,search_if_no_website,geocodio_source,verdict,why
1,rooftop,TDG ENERGY SERVICES,"29315 HIGHWAY BLVD, KATY, TX 77494-8207",29.784642,-95.876436,"https://www.google.com/maps/search/?api=1&query=29.784642,-95.876436",,https://www.google.com/search?q=TDG+ENERGY+SERVICES+KATY+TX,City of Katy,,
2,rooftop,MODULAR ENGINEERING,"1802 CRANBERRY STREET, ERIE, PA 16502",42.108376,-80.103382,"https://www.google.com/maps/search/?api=1&query=42.108376,-80.103382",,https://www.google.com/search?q=MODULAR+ENGINEERING+ERIE+PA,Erie,,
3,rooftop,"ROBINSON, INC.","2121 S. 30TH ST., MANITOWOC, WI",44.072867,-87.68591,"https://www.google.com/maps/search/?api=1&query=44.072867,-87.68591",https://www.robinsoninc.com,https://www.google.com/search?q=ROBINSON%2C+INC.+MANITOWOC+WI,Wisconsin Land Information Program,,
4,rooftop,WHITLEY MANUFACTURING CO LLC,"201 W FIRST STREET, SOUTH WHITLEY, IN 46787",41.089693,-85.629836,"https://www.google.com/maps/search/?api=1&query=41.089693,-85.629836",,https://www.google.com/search?q=WHITLEY+MANUFACTURING+CO+LLC+SOUTH+WHITLEY+IN,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)",,
5,rooftop,MADISON IND. INC. OF GA,"1035 IRIS DR., SE, CONYERS, GA",33.653893,-84.013746,"https://www.google.com/maps/search/?api=1&query=33.653893,-84.013746",,https://www.google.com/search?q=MADISON+IND.+INC.+OF+GA+CONYERS+GA,Rockdale,,
6,rooftop,"BENTLEY WELDING, INC.","527 6TH AVE, GREELEY, CO 80631-2418",40.427603,-104.687622,"https://www.google.com/maps/search/?api=1&query=40.427603,-104.687622",https://www.bentleyweldinginc.com,https://www.google.com/search?q=BENTLEY+WELDING%2C+INC.+GREELEY+CO,City of Greeley,,
7,rooftop,SCHULT HOMES,"201 INDUSTRIAL DR., REDWOOD FALLS, MN",44.544732,-95.092363,"https://www.google.com/maps/search/?api=1&query=44.544732,-95.092363",https://claytonredwoodfalls.com,https://www.google.com/search?q=SCHULT+HOMES+REDWOOD+FALLS+MN,Statewide MN,,
8,rooftop,CREATIVE MOD. CONST. (KEARNEY),"2738 E. KEARNEY ST., SPRINGFIELD, MO",37.238515,-93.239512,"https://www.google.com/maps/search/?api=1&query=37.238515,-93.239512",,https://www.google.com/search?q=CREATIVE+MOD.+CONST.+%28KEARNEY%29+SPRINGFIELD+MO,Greene,,
9,rooftop,ATKINSON IND.,"1801 E. 27TH ST. TERRACE, PITTSBURG, KS",37.434801,-94.67551,"https://www.google.com/maps/search/?api=1&query=37.434801,-94.67551",,https://www.google.com/search?q=ATKINSON+IND.+PITTSBURG+KS,Crawford County,,
10,rooftop,HENNIG ENCLOSURE SYS.,"9904 N. ALPINE RD., MACHESNEY PARK, IL",42.372528,-89.026646,"https://www.google.com/maps/search/?api=1&query=42.372528,-89.026646",,https://www.google.com/search?q=HENNIG+ENCLOSURE+SYS.+MACHESNEY+PARK+IL,Winnebago,,
11,rooftop,PANELMATIC BRK,"6882 PARKWAY DR., BROOKFIELD, OH",41.22771,-80.568726,"https://www.google.com/maps/search/?api=1&query=41.22771,-80.568726",,https://www.google.com/search?q=PANELMATIC+BRK+BROOKFIELD+OH,Trumbull,,
12,rooftop,CONEXWEST,"17100 S HARLAN RD, LATHROP, CA",37.806132,-121.295106,"https://www.google.com/maps/search/?api=1&query=37.806132,-121.295106",https://www.conexwest.com,https://www.google.com/search?q=CONEXWEST+LATHROP+CA,City of Manteca (City of Manteca CC BY 4.0),,
13,rooftop,"SOUTHEAST MOD. MFG., LEESBURG","2500 INDUSTRIAL ST., LEESBURG, FL",28.825356,-81.905867,"https://www.google.com/maps/search/?api=1&query=28.825356,-81.905867",,https://www.google.com/search?q=SOUTHEAST+MOD.+MFG.%2C+LEESBURG+LEESBURG+FL,Lake (Public Domain Lake County),,
14,rooftop,"WESTCHESTER MOD. HOMES, INC.","30 REAGANS MILL RD., WINGDALE, NY",41.662078,-73.55576,"https://www.google.com/maps/search/?api=1&query=41.662078,-73.55576",,https://www.google.com/search?q=WESTCHESTER+MOD.+HOMES%2C+INC.+WINGDALE+NY,"NYS GIS Program Office, State Geographic Information Officer (GIO)",,
