control_id,name,city,state,reason,split,status,matched_by,matched_facility,matched_state,matched_tier,why_missing
ADL-001,Silver Creek Modular,Perris,CA,Steel Volumetric Modular,dev,MISSING,,,,,in a raw source but not published
ADL-002,Z Modular,Chandler,AZ,Steel Volumetric Modular,dev,LEAD ONLY,name,Z Modular LLC,,T0,
ADL-003,Modlogiq,New Holland,PA,Steel Volumetric Modular,sealed,LEAD ONLY,name+city,MODLOGIQ,PA,T0,
ADL-004,Fullstack Modular,Carson,CA,Steel Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-005,Mandeville Modular,Palmdale,CA,Steel Volumetric Modular,sealed,HAVE,name+city,"Mandeville Modular, Inc.",CA,T1,
ADL-006,MMY Modular,Louisville,KY,Steel Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-007,Modern Living Solutions / Greystar,Knox,PA,Steel Volumetric Modular,dev,LEAD ONLY,name-prefix,Modern Living Solutions,PA,T0,
ADL-008,BLOX,Bessemer,AL,Steel Volumetric Modular,sealed,HAVE,name+city,"BLOX, LLC",AL,T2,
ADL-009,Modular Steel Systems,Bloomsburg,PA,Steel-based Panels,sealed,HAVE,name+city,MODULAR STEEL SYSTEMS INC,PA,T3,
ADL-010,VBC,Berwick,PA,Wood Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-011,VBC,Tracy,VA,Wood Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-012,Vantem Global,Clio,SC,Wood Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-013,Autovol,Nampa,ID,Wood Volumetric Modular,sealed,HAVE,name+city,Autovol,ID,T1,
ADL-014,Plant prefab,Tejon Ranch,CA,Wood Volumetric Modular,dev,HAVE,name+state,Plant Prefab,CA,T1,
ADL-015,Fading West,Buena Vista,CO,Wood Volumetric Modular,dev,HAVE,name-prefix,"FADING WEST BUILDING SYSTEMS, LLC",CO,T2,
ADL-016,Biltwise,Greenwood,SC,Wood Volumetric Modular,dev,LEAD ONLY,name-prefix,BiltWise Structures LLC,,T0,
ADL-017,Signature Building Systems,Moosic,PA,Wood Volumetric Modular,sealed,LEAD ONLY,name+city,Signature Building Systems,PA,T0,
ADL-018,Ritz Craft PA 1,Mifflinburg,PA,Wood Volumetric Modular,dev,HAVE,name-prefix,RITZ-CRAFT CORPORATION,PA,T3,
ADL-019,Ritz Craft MI,Jonesville,MI,Wood Volumetric Modular,dev,MISSING,,,,,"company in database, THIS PLANT not"
ADL-020,Icon Legacy,Selinsgrove,PA,Wood Volumetric Modular,dev,LEAD ONLY,name-prefix,ICON LEGACY CUSTOM MODULAR HOMES,,T0,
ADL-021,Professional Building Systems,Middleburg,PA,Wood Volumetric Modular,dev,LEAD ONLY,name-prefix,Professional Building Systems of NC,,T0,
ADL-022,Studiobuilt,Cuero,TX,Wood Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-023,Apex Homes,Middleburg,PA,Wood Volumetric Modular,sealed,LEAD ONLY,name+city,Apex Homes,PA,T0,
ADL-024,Cardinal Homes,Wylliesburg,VA,Wood Volumetric Modular,dev,HAVE,name+city,CARDINAL HOMES INC,VA,T1,
ADL-025,Cavco Industries R-Anell,Crouse,NC,Wood Volumetric Modular,dev,MISSING,,,,,"company in database, THIS PLANT not"
ADL-026,Rochester Homes,Rochester,IN,Wood Volumetric Modular,dev,HAVE,name+city,"ROCHESTER HOMES, INC.",IN,T2,
ADL-027,Cavco - Penn West,Emlenton,PA,Wood Volumetric Modular,dev,MISSING,,,,,not in any source we hold
ADL-028,DuraPod - North Wales,North Wales,PA,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-029,DuraPod - Chalfont,Chalfont,PA,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-030,B&T Manufacturing,RAPID CITY,SD,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-031,SurePod (subsidiary of DPR),ORLANDO,FL,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-032,SurePod West (subsidairy of DPR),PHOENIX,AZ,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-033,BathSystems,HOUSTON,TX,Bathroom Pods,dev,MISSING,,,,,not in any source we hold
ADL-034,Baker Triangle Prefab,RICHARDSON,TX,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-035,MASTECH PANEL SYSTEMS,LEWISBURG,PA,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-036,COMPLETE WALL STRATEGIES / TCM ENTERPRISES,HUTCHINSON,KS,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-037,TJ WIES PREFAB,O FALLON,MO,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-038,GRAYHAWK LLC,ELIZABETHTOWN,KY,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-039,Atlantic PreFab,Wilton,NH,Closed LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-040,Steele Truss & Panel,Plattsville,NY,Open LGS Panel,dev,HAVE,name-prefix,STEELE TRUSS CO,NY,T1,
ADL-041,Forge CFS Components,Norcross,GA,Open LGS Panel,sealed,MISSING,,,,,not in any source we hold
ADL-042,Steel Panel Truss,Kissimmee,FL,Open LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-043,United Structures of Georgia,Cairo,GA,Open LGS Panel,dev,LEAD ONLY,name-prefix,United Structures Inc.,,T0,
ADL-044,Ladabuild,GRAND JUNCTION,CO,Open LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-045,Offsitek,BESSEMER CITY,NC,Open LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-046,US FRAME FACTORY,BRADENTON,FL,Open LGS Panel,dev,MISSING,,,,,not in any source we hold
ADL-047,Blueprint Robotics - Baltimore,BALTIMORE,MD,Closed Wood Panel,dev,MISSING,,,,,in a raw source but not published
ADL-048,Blueprint Robotics - Windsor,WINDSOR,CT,Closed Wood Panel,dev,MISSING,,,,,in a raw source but not published
ADL-049,Bensonwood,Walpole,NH,Closed Wood Panel,dev,HAVE,name-prefix,BENSONWOOD MFG. FAC.,NH,T1,
ADL-050,Bensonwood - Tektoniks & Unity Homes,KEENE,NH,Closed Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-051,Dvele Modular,MESA,AZ,Closed Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-052,BPUBLIC PREFAB,SANTA,NM,Closed Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-053,YANKEE BARN HOMES,NORTHWOOD,NH,Closed Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-054,LANDMARK HOME AND LAND COMPANY,CLEARWATER,FL,Closed Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-055,CAPE COD PANEL,HYANNIS,MA,Open Wood Panel,dev,HAVE,name+city,"CAPE COD PANEL, LLC",MA,T1,
ADL-056,BARDEN BUILDING PRODUCTS / NORTH AMERICAN TRUSS,MIDDLEPORT,NY,Open Wood Panel,sealed,MISSING,,,,,not in any source we hold
ADL-057,DC STRUCTURES,PORTLAND,OR,Open Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-058,TIMBERQUEST,SOUTH LAKE TAHOE,CA,Open Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-059,ACQBUILT INC,EDMONTON,AB,Open Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-060,84 Lumber,Winchester,VA,Open Wood Panel,dev,HAVE,name-prefix,84 Lumber — Winchester Truss Plant,VA,T1,
ADL-061,Annadale Millwork,Winchester,VA,Open Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-062,Van Metre Companies,Winchester,VA,Open Wood Panel,sealed,MISSING,,,,,not in any source we hold
ADL-063,Builders FirstSource,Arlington,WA,Open Wood Panel,dev,HAVE,name-prefix,Builders FirstSource — Arlington WA Truss,WA,T1,
ADL-064,Innovative Construction Group,Florence,SC,Open Wood Panel,dev,MISSING,,,,,not in any source we hold
ADL-065,Freres Engineered Wood,Lyons,OR,Mass Timber (CLT),dev,LEAD ONLY,name+city,Freres Engineered Wood,OR,T0,
ADL-066,Sterling Structural - IL,Phoenix,IL,Mass Timber (CLT),dev,MISSING,,,,,not in any source we hold
ADL-067,Sterling Structural - TX,LUFKIN,TX,Mass Timber (CLT),dev,MISSING,,,,,not in any source we hold
