control_id,name,city,state,triage,reason,split
ADL-001,Silver Creek Modular,Perris,CA,,Steel Volumetric Modular,dev
ADL-002,Z Modular,Chandler,AZ,,Steel Volumetric Modular,dev
ADL-003,Modlogiq,New Holland,PA,,Steel Volumetric Modular,sealed
ADL-004,Fullstack Modular,Carson,CA,,Steel Volumetric Modular,dev
ADL-005,Mandeville Modular,Palmdale,CA,,Steel Volumetric Modular,sealed
ADL-006,MMY Modular,Louisville,KY,,Steel Volumetric Modular,dev
ADL-007,Modern Living Solutions / Greystar,Knox,PA,,Steel Volumetric Modular,dev
ADL-008,BLOX,Bessemer,AL,,Steel Volumetric Modular,sealed
ADL-009,Modular Steel Systems,Bloomsburg,PA,,Steel-based Panels,sealed
ADL-010,VBC,Berwick,PA,,Wood Volumetric Modular,dev
ADL-011,VBC,Tracy,VA,,Wood Volumetric Modular,dev
ADL-012,Vantem Global,Clio,SC,,Wood Volumetric Modular,dev
ADL-013,Autovol,Nampa,ID,,Wood Volumetric Modular,sealed
ADL-014,Plant prefab,Tejon Ranch,CA,,Wood Volumetric Modular,dev
ADL-015,Fading West,Buena Vista,CO,,Wood Volumetric Modular,dev
ADL-016,Biltwise,Greenwood,SC,,Wood Volumetric Modular,dev
ADL-017,Signature Building Systems,Moosic,PA,,Wood Volumetric Modular,sealed
ADL-018,Ritz Craft PA 1,Mifflinburg,PA,,Wood Volumetric Modular,dev
ADL-019,Ritz Craft MI,Jonesville,MI,,Wood Volumetric Modular,dev
ADL-020,Icon Legacy,Selinsgrove,PA,,Wood Volumetric Modular,dev
ADL-021,Professional Building Systems,Middleburg,PA,,Wood Volumetric Modular,dev
ADL-022,Studiobuilt,Cuero,TX,,Wood Volumetric Modular,dev
ADL-023,Apex Homes,Middleburg,PA,,Wood Volumetric Modular,sealed
ADL-024,Cardinal Homes,Wylliesburg,VA,,Wood Volumetric Modular,dev
ADL-025,Cavco Industries R-Anell,Crouse,NC,,Wood Volumetric Modular,dev
ADL-026,Rochester Homes,Rochester,IN,,Wood Volumetric Modular,dev
ADL-027,Cavco - Penn West,Emlenton,PA,,Wood Volumetric Modular,dev
ADL-028,DuraPod - North Wales,North Wales,PA,,Bathroom Pods,dev
ADL-029,DuraPod - Chalfont,Chalfont,PA,,Bathroom Pods,dev
ADL-030,B&T Manufacturing,RAPID CITY,SD,,Bathroom Pods,dev
ADL-031,SurePod (subsidiary of DPR),ORLANDO,FL,,Bathroom Pods,dev
ADL-032,SurePod West (subsidairy of DPR),PHOENIX,AZ,,Bathroom Pods,dev
ADL-033,BathSystems,HOUSTON,TX,,Bathroom Pods,dev
ADL-034,Baker Triangle Prefab,RICHARDSON,TX,,Closed LGS Panel,dev
ADL-035,MASTECH PANEL SYSTEMS,LEWISBURG,PA,,Closed LGS Panel,dev
ADL-036,COMPLETE WALL STRATEGIES / TCM ENTERPRISES,HUTCHINSON,KS,,Closed LGS Panel,dev
ADL-037,TJ WIES PREFAB,O FALLON,MO,,Closed LGS Panel,dev
ADL-038,GRAYHAWK LLC,ELIZABETHTOWN,KY,,Closed LGS Panel,dev
ADL-039,Atlantic PreFab,Wilton,NH,,Closed LGS Panel,dev
ADL-040,Steele Truss & Panel,Plattsville,NY,,Open LGS Panel,dev
ADL-041,Forge CFS Components,Norcross,GA,,Open LGS Panel,sealed
ADL-042,Steel Panel Truss,Kissimmee,FL,,Open LGS Panel,dev
ADL-043,United Structures of Georgia,Cairo,GA,,Open LGS Panel,dev
ADL-044,Ladabuild,GRAND JUNCTION,CO,,Open LGS Panel,dev
ADL-045,Offsitek,BESSEMER CITY,NC,,Open LGS Panel,dev
ADL-046,US FRAME FACTORY,BRADENTON,FL,,Open LGS Panel,dev
ADL-047,Blueprint Robotics - Baltimore,BALTIMORE,MD,,Closed Wood Panel,dev
ADL-048,Blueprint Robotics - Windsor,WINDSOR,CT,,Closed Wood Panel,dev
ADL-049,Bensonwood,Walpole,NH,,Closed Wood Panel,dev
ADL-050,Bensonwood - Tektoniks & Unity Homes,KEENE,NH,,Closed Wood Panel,dev
ADL-051,Dvele Modular,MESA,AZ,,Closed Wood Panel,dev
ADL-052,BPUBLIC PREFAB,SANTA,NM,,Closed Wood Panel,dev
ADL-053,YANKEE BARN HOMES,NORTHWOOD,NH,,Closed Wood Panel,dev
ADL-054,LANDMARK HOME AND LAND COMPANY,CLEARWATER,FL,,Closed Wood Panel,dev
ADL-055,CAPE COD PANEL,HYANNIS,MA,,Open Wood Panel,dev
ADL-056,BARDEN BUILDING PRODUCTS / NORTH AMERICAN TRUSS,MIDDLEPORT,NY,,Open Wood Panel,sealed
ADL-057,DC STRUCTURES,PORTLAND,OR,,Open Wood Panel,dev
ADL-058,TIMBERQUEST,SOUTH LAKE TAHOE,CA,,Open Wood Panel,dev
ADL-059,ACQBUILT INC,EDMONTON,AB,out_of_scope,"Open Wood Panel | OUT OF SCOPE: not a US facility. This database is US-scoped; every source filters to US states and Layer 2 validates them, so a plant in AB/BC can never be matched by any amount of pipeline work.",dev
ADL-060,84 Lumber,Winchester,VA,,Open Wood Panel,dev
ADL-061,Annadale Millwork,Winchester,VA,,Open Wood Panel,dev
ADL-062,Van Metre Companies,Winchester,VA,,Open Wood Panel,sealed
ADL-063,Builders FirstSource,Arlington,WA,,Open Wood Panel,dev
ADL-064,Innovative Construction Group,Florence,SC,,Open Wood Panel,dev
ADL-065,Freres Engineered Wood,Lyons,OR,,Mass Timber (CLT),dev
ADL-066,Sterling Structural - IL,Phoenix,IL,,Mass Timber (CLT),dev
ADL-067,Sterling Structural - TX,LUFKIN,TX,,Mass Timber (CLT),dev
ADL-068,Mercer Mass Timber - WA,Spokane,WA,,Mass Timber (CLT),dev
ADL-069,Mercer Mass Timber - AR,Conway,AR,,Mass Timber (CLT),dev
ADL-070,Mercer Mass Timber - BC,OKANAGAN FALLS,BC,out_of_scope,"Mass Timber (CLT) | OUT OF SCOPE: not a US facility. This database is US-scoped; every source filters to US states and Layer 2 validates them, so a plant in AB/BC can never be matched by any amount of pipeline work.",dev
ADL-071,SmartLam - AL,Dothan,AL,,Mass Timber (CLT),dev
ADL-072,SmartLam - OR,Columbia Falls,OR,,Mass Timber (CLT),dev
ADL-073,DR Johnson,Riddle,OR,,Mass Timber (CLT),dev
ADL-074,Vaagen Timbers,COLVILLE,WA,,Mass Timber (CLT),sealed
ADL-075,TimberLab - Middleburg,Millersburg,OR,,Mass Timber (CLT),sealed
ADL-076,TimberLab - Portland,Portland,OR,,Mass Timber (CLT),dev
ADL-077,SUPERIOR WALLS - ADVANCED CONCRETE SYSTEMS,MIDDLEBURG,PA,,Precast Concrete panel,dev
ADL-078,SUPERIOR WALLS - WEAVER PRECAST,EPHRATA,PA,,Precast Concrete panel,dev
ADL-079,CLARK PACIFIC - WOODLAND PLANT,WOODLAND,CA,,Precast Concrete panel,dev
ADL-080,TITAN WALL,ELIZABETHTOWN,PA,,MgO Panel,dev
ADL-081,FISCHERSIPS,LOUISVILLE,KY,,SIP / ICF (Other Composite panel),dev
ADL-082,INSULSPAN SIPS BY PLASTI-FAB,BLISSFIELD,MI,,SIP / ICF (Other Composite panel),dev
ADL-083,GENERAL PANEL CORPORATION,GRENADA,MS,,SIP / ICF (Other Composite panel),dev
ADL-084,R-CONTROL SIP/AFM CORPORATION,LAKEVILLE,MN,,SIP / ICF (Other Composite panel),dev
ADL-085,ACME PANEL COMPANY,RADFORD,VA,,SIP / ICF (Other Composite panel),dev
ADL-086,R-CONTROL SIP/BIG SKY,BELGRADE,MT,,SIP / ICF (Other Composite panel),dev
ADL-087,R-CONTROL SIP/BRANCH RIVER PLASTICS,SMITHFIELD,RI,,SIP / ICF (Other Composite panel),sealed
ADL-088,LAMIT BY ARMSTRONG,HEBRON,OH,,SIP / ICF (Other Composite panel),dev
ADL-089,PREMIER SIPS,PUYALLUP,WA,,SIP / ICF (Other Composite panel),sealed
ADL-090,THE MURUS COMPANY INC,MANSFIELD,PA,,SIP / ICF (Other Composite panel),dev
ADL-091,EXTREME PANEL TECHNOLOGIES INC,COTTONWOOD,MN,,SIP / ICF (Other Composite panel),dev
ADL-092,INNOVA PANEL,OPA LOCKA,FL,,SIP / ICF (Other Composite panel),dev
ADL-093,R-CONTROL SIP/THERMAFOAM ARKANSAS LLC,JACKSONVILLE,AR,,SIP / ICF (Other Composite panel),dev
ADL-094,ENERCEPT INC,WATERTOWN,SD,,SIP / ICF (Other Composite panel),dev
ADL-095,URBAN INDUSTRIES INC,GALION,OH,,SIP / ICF (Other Composite panel),sealed
ADL-096,FOARD PANEL INC,WEST CHESTERFIELD,NH,,SIP / ICF (Other Composite panel),dev
ADL-097,PORTERSIPS DIVISION OF PORTER CORP,HOLLAND,MI,,SIP / ICF (Other Composite panel),dev
ADL-098,R-CONTROL SIP/PREMIER BUILDING SYSTEMS,PUYALLUP,WA,,SIP / ICF (Other Composite panel),dev
ADL-099,INSULSPAN SIPS,BLISSFIELD,MI,,SIP / ICF (Other Composite panel),dev
ADL-100,ENERGY PANEL STRUCTURES INC,GRAETTINGER,IA,,SIP / ICF (Other Composite panel),dev
ADL-101,PORTER SIPS DIVISION OF PORTERCORP,COLUMBIA,MS,,SIP / ICF (Other Composite panel),dev
ADL-102,ECO-PANELS LLC,MOCKSVILLE,NC,,SIP / ICF (Other Composite panel),dev
ADL-103,TIMBERBUILT,NORTH COLLINS,NY,,SIP / ICF (Other Composite panel),dev
ADL-104,BRANCH TECHNOLOGY,CHATTANOOGA,TN,,3D Printing,dev
ADL-105,PANEL BUILT INC,BLAIRSVILLE,GA,,Relocatable Modular,sealed
ADL-106,PACIFIC WALL SYSTEMS,SEATTLE,WA,,Exterior Envelope Panels,sealed
ADL-107,STO PANEL TECHNOLOGY / STO PANEL AFFILIATES,ATLANTA,GA,,Exterior Envelope Panels,dev
ADL-108,Bankersteel - Lynchburg (Main plant 1619 Wythe Road),LYNCHBURG,VA,,Steel Structural Components,dev
ADL-109,Bankersteel - Lynchburg (South plant 351 Rangoon St),LYNCHBURG,VA,,Steel Structural Components,dev
ADL-110,Bankersteel - South Plainfield,SOUTH PLAINFIELD,NJ,,Steel Structural Components,dev
ADL-111,Bankersteel - Orlando,ORLANDO,FL,,Steel Structural Components,dev
ADL-112,Bankersteel - Rock Hill,ROCK HILL,SC,,Steel Structural Components,dev
ADL-113,Angle Truss,Tavares,FL,,Steel Structural Components,dev
ADL-114,Florida Steel Frame & Truss Mfg,Tampa,FL,,Steel Structural Components,dev
ADL-115,Cascade Manufacturing,Dublin,GA,,Steel Structural Components,dev
