control_id,name,city,state,segment,split,why_missing,sources_holding_the_company,found_street,found_city,found_state,source_url,notes
ADL-069,Mercer Mass Timber - AR,Conway,AR,Mass Timber (CLT),dev,never ingested — no source holds this name,,,,,,
ADL-093,R-CONTROL SIP/THERMAFOAM ARKANSAS LLC,JACKSONVILLE,AR,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
ADL-122,Arizona Building Supply,Glendale,AZ,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-123,Arizona Building Supply,Yuma,AZ,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-051,Dvele Modular,MESA,AZ,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-125,FrameTec,Camp Verde,AZ,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-032,SurePod West (subsidairy of DPR),PHOENIX,AZ,Bathroom Pods,dev,never ingested — no source holds this name,,,,,,
ADL-126,"Trussworks, LLC",Kingman,AZ,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-079,CLARK PACIFIC - WOODLAND PLANT,WOODLAND,CA,Precast Concrete panel,dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-004,Fullstack Modular,Carson,CA,Steel Volumetric Modular,dev,never ingested — no source holds this name,,,,,,
ADL-131,NorCal Lumber Company,Marysville,CA,Wood Structural Components (trusses etc),dev,never ingested — no source holds this name,,,,,,
ADL-132,Pacific StrucFrame,Barstow,CA,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-058,TIMBERQUEST,SOUTH LAKE TAHOE,CA,Open Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-044,Ladabuild,GRAND JUNCTION,CO,Open LGS Panel,dev,never ingested — no source holds this name,,,,,,
ADL-048,Blueprint Robotics - Windsor,WINDSOR,CT,Closed Wood Panel,dev,never ingested — no source holds this name,,,,,,
ADL-133,Ridgefield Building Supply,East Haven,CT,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-135,A-1 Industries of Florida,Fort Pierce,FL,Wood Structural Components (trusses etc),sealed,never ingested — no source holds this name,,,,,,
ADL-136,American Builders Supply,Winter Haven,FL,Wood Structural Components (trusses etc),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-137,American Builders Supply,Tampa,FL,Wood Structural Components (trusses etc),dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-113,Angle Truss,Tavares,FL,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-111,Bankersteel - Orlando,ORLANDO,FL,Steel Structural Components,dev,ingested but lost before publication (not in the published warehouse),epa_frs,,,,,
ADL-114,Florida Steel Frame & Truss Mfg,Tampa,FL,Steel Structural Components,dev,never ingested — no source holds this name,,,,,,
ADL-092,INNOVA PANEL,OPA LOCKA,FL,SIP / ICF (Other Composite panel),dev,never ingested — no source holds this name,,,,,,
