control_id,name,in_any_raw_source,proposed_triage,evidence
ADL-199,Aura Dwellings & Hospitality,no,,
ADL-200,ATCO Structures and Logistics (USA) Inc,yes,,
ADL-201,House Factory,no,,
ADL-202,BYLD Inc.,no,,
ADL-203,Novarum Homes,no,,
ADL-204,Steel Tech USA,no,,
ADL-205,Modutize,no,,
ADL-206,ATCO Structures,yes,,
ADL-207,US Offsite,no,,
ADL-208,DORCE Prefabricated & Construction,no,,
ADL-209,Falcon Structures,yes,,
ADL-210,OCCA OFFSITE,no,,
ADL-214,"The Twiin Group, LLC",no,,
ADL-215,"Fornidos Home Systems, Inc.",no,,
ADL-216,ICON,no,,
ADL-218,Wind River Built,no,,
ADL-219,Off-Site,yes,,
ADL-220,Azure Printed Homes,no,,
ADL-222,Stella Domo,no,,
ADL-223,NEXGEN Building Products,no,,
ADL-224,Nibbi Prefab,no,,
ADL-225,GHOST FACTORY,no,,
ADL-226,G-pod,no,,
ADL-227,Irontown Modular,no,,
ADL-228,Blue Horse Building,no,,
ADL-229,Tiny Home Tours,no,,
ADL-230,Impresa Modular,no,,
ADL-231,Green Canopy NODE,no,,
ADL-232,Reframe Systems Inc,no,,
ADL-234,True Volumetric Corp,no,,
ADL-237,Promise Robotics,no,,
ADL-238,Housing Growth Partners,no,,
ADL-239,"Rmax, a Sika Company",no,,
ADL-240,Slab to Ridge,no,,
ADL-241,4Ward Solutions Group,no,,
