run,started,minutes,ai,model,prompt,sources,n_sources,input_tokens,output_tokens,batches_called,batches_cached,classify_minutes,candidates,ic,uncertain,raw_clusters,published,located,t0_leads,recall,recall_located,recall_sealed,control_rows,ceiling,ingested_but_lost,never_ingested,gates,halted_at
2026-09-15T193901,2026-09-15T19:39:01.063916+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T194109,2026-09-15T19:41:09.360241+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T194421,2026-09-15T19:44:21.789212+00:00,,,,,iibc mhi_plants pa_dced tx_tdlr,4,,,,,,,,,,,,,,,,,,,,,layer 1
2026-09-15T194934,2026-09-15T19:49:34.829444+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T200243,2026-09-15T20:02:43.462713+00:00,0.0,off,,,,,,,,,,0,0,0,0,0,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T163506,2026-09-16T16:35:06.816469+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T165342,2026-09-16T16:53:42.824686+00:00,0.7,off,,,epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,8,,,,,,2922,0,2922,1892,1808,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T173352,2026-09-16T17:33:52.098939+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T173539,2026-09-16T17:35:39.562826+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T174004,2026-09-16T17:40:04.360778+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T175524,2026-09-16T17:55:24.001463+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T182951,2026-09-16T18:29:51.673493+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T190134,2026-09-16T19:01:34.656986+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T210359,2026-09-16T21:03:59.165858+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16T211532,2026-09-16T21:15:32.798579+00:00,0.8,off,,,epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,8,,,,,,13117,0,13117,1892,1808,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T211734,2026-09-16T21:17:34.486206+00:00,2.1,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T212334,2026-09-16T21:23:34.542524+00:00,2.1,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T212836,2026-09-16T21:28:36.564067+00:00,2.2,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T213814,2026-09-16T21:38:14.491621+00:00,2.1,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T215710,2026-09-16T21:57:10.655548+00:00,1.7,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T220550,2026-09-16T22:05:50.123333+00:00,1.6,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T225553,2026-09-16T22:55:53.675017+00:00,1.9,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T231608,2026-09-16T23:16:08.358062+00:00,2.1,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T234048,2026-09-16T23:40:48.614965+00:00,1.5,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T234953,2026-09-16T23:49:53.746636+00:00,1.8,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-16T235208,2026-09-16T23:52:08.415771+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T001911,2026-09-17T00:19:11.461415+00:00,1.6,off,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,2102,2018,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T002638,2026-09-17T00:26:38.725123+00:00,,,inception/mercury-2.5,275e1a45a6be,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,991,2634,41,,,,,,,,,,,,G1+ G2+ G3+ G4+ G5-,layer 6
2026-09-17T003121,2026-09-17T00:31:21.476083+00:00,,,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,,,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T003941,2026-09-17T00:39:41.467494+00:00,,,mistral/mistral-nemo,275e1a45a6be,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,991,2757,1,,,,,,,,,,,,G1+ G2+ G3+ G4+ G5-,layer 6
2026-09-17T004348,2026-09-17T00:43:48.955012+00:00,23.9,on,inception/mercury-2.5,275e1a45a6be,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13057,4711,314,4136,3974,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T005056,2026-09-17T00:50:56.431012+00:00,,,,,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13117,0,13117,,,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T012911,2026-09-17T01:29:11.861902+00:00,24.3,on,inception/mercury-2.5,275e1a45a6be,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13057,4618,215,4065,3901,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T022203,2026-09-17T02:22:03.759894+00:00,25.4,on,inception/mercury-2.5,275e1a45a6be,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13057,4622,343,4055,3887,,,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T024846,2026-09-17T02:48:46.455226+00:00,23.4,on,inception/mercury-2.5,a852a392ad7b,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13057,3942,164,3427,1933,2013,1414,0.000,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T034428,2026-09-17T03:44:28.922669+00:00,26.9,on,inception/mercury-2.5,23e69d2b0d70,corporate_locations epa_frs fl_bcis iibc mhi_plants mi_lara or_bcd pa_dced tx_tdlr,9,,,,,,13057,4398,339,3750,2322,2350,1400,,,,0,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T144033,2026-09-17T14:40:33.589528+00:00,27.2,on,inception/mercury-2.5,23e69d2b0d70,corporate_locations epa_frs fl_bcis iibc mbi_members mhi_plants mi_lara or_bcd pa_dced tx_tdlr,10,,,,,,13057,4595,437,3905,2450,2481,1424,0.228,,,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T152323,2026-09-17T15:23:23.776392+00:00,29.2,on,inception/mercury-2.5,23e69d2b0d70,bldr_locations corporate_locations epa_frs fl_bcis iibc mbi_members mhi_plants mi_lara or_bcd pa_dced tx_tdlr,11,,,,,,13057,4715,283,3935,2481,2517,1418,0.320,,0.289,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T155242,2026-09-17T15:52:42.672817+00:00,34.0,on,inception/mercury-2.5,23e69d2b0d70,bldr_locations corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mhi_plants mi_lara or_bcd pa_dced sipa tx_tdlr woodworks_mass_timber,14,,,,,,13057,4958,337,4081,2589,2627,1454,0.344,0.270,0.395,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T171734,2026-09-17T17:17:34.759596+00:00,31.4,on,inception/mercury-2.5,23e69d2b0d70,bldr_locations corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mhi_plants mi_lara or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,15,,,,,,13057,5146,371,4182,2658,2701,1481,0.365,0.290,0.395,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T175037,2026-09-17T17:50:37.485163+00:00,31.7,on,inception/mercury-2.5,23e69d2b0d70,bldr_locations corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mhi_plants mi_lara or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,15,1132632,832394,132,0,27.8,13057,5167,367,4204,2674,2714,1490,0.373,0.299,0.421,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T183344,2026-09-17T18:33:44.436415+00:00,27.4,on,inception/mercury-2.5,0b4a70c2f1f3,bldr_locations corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mhi_plants mi_lara or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,15,1235835,825400,132,0,25.3,13057,5216,699,4245,2720,2758,1487,0.369,0.295,0.395,241,,,,G1+ G2+ G3+ G4+ G5+,
2026-09-17T190237,2026-09-17T19:02:37.439802+00:00,30.7,on,inception/mercury-2.5,6127f4dbf7db,bldr_locations ca_hcd corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mhi_plants mi_lara nc_osfm ny_dos or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,18,1276169,839911,132,0,27.0,13057,5582,162,4347,2726,2776,1571,0.386,0.307,0.421,241,0.494,26,122,G1+ G2+ G3+ G4+ G5+,
2026-09-17T193459,2026-09-17T19:34:59.498150+00:00,30.1,on,inception/mercury-2.5,dd4369b1ffae,bldr_locations ca_hcd corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mbma mhi_plants mi_lara nc_osfm ny_dos or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,19,1305955,818737,132,0,26.4,13057,5665,176,4287,2783,2831,1456,0.402,0.340,0.447,241,0.461,14,130,G1+ G2+ G3+ G4+ G5+,
2026-09-17T201143,2026-09-17T20:11:43.072165+00:00,32.7,on,inception/mercury-2.5,dd4369b1ffae,bldr_locations ca_hcd corporate_locations epa_frs fl_bcis iibc in_dhs mbi_members mbma mhi_plants mi_lara nc_osfm ny_dos or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,19,1418004,837733,132,0,29.6,13057,5679,131,4205,2782,2830,1375,0.410,0.356,0.421,239,0.477,16,125,G1+ G2+ G3+ G4+ G5+,
2026-09-17T212712,2026-09-17T21:27:12.893831+00:00,40.2,on,inception/mercury-2.5,9118376580c2,bldr_locations ca_hcd corporate_locations epa_frs fl_bcis forest_products_locator ga_dca iibc in_dhs lead_addresses mbi_members mbma mhi_plants mi_lara mo_psc nc_osfm ny_dos or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,23,1732045,1289776,167,0,36.9,16606,6333,159,4565,3187,3243,1322,0.423,0.402,0.447,239,0.473,12,126,G1+ G2+ G3+ G4+ G5+,
2026-09-18T164305,2026-09-18T16:43:05.752708+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-18T192134,2026-09-18T19:21:34.475761+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-18T203109,2026-09-18T20:31:09.907694+00:00,,,,,bldr_locations ca_hcd epa_frs fl_bcis forest_products_locator ga_dca iibc in_dhs lead_addresses mbi_members mbma mhi_plants mi_lara mo_psc nc_osfm ny_dos or_bcd pa_dced sipa superior_walls tx_tdlr woodworks_mass_timber,22,,,,,,,,,,,,,,,,,,,,,layer 1
2026-09-18T222736,2026-09-18T22:27:36.135410+00:00,37.1,on,inception/mercury-2.5,9118376580c2,bldr_locations ca_hcd corporate_locations epa_frs fl_bcis forest_products_locator ga_dca iibc in_dhs lead_addresses mbi_members mbma mhi_plants mi_lara mo_psc nc_osfm ny_dos or_bcd pa_dced sbca_cm sipa superior_walls tx_tdlr woodworks_mass_timber,24,1679562,1290584,167,0,34.2,16606,7241,201,5242,3848,3904,1338,0.536,0.519,0.605,239,0.573,9,102,G1+ G2+ G3+ G4+ G5+,
2026-09-18T235228,2026-09-18T23:52:28.169391+00:00,37.2,on,inception/mercury-2.5,9118376580c2,adl_4ward adl_july bldr_locations ca_hcd corporate_locations epa_frs fl_bcis forest_products_locator ga_dca iibc in_dhs lead_addresses mbi_members mbma mhi_plants mi_lara mo_psc nc_osfm ny_dos or_bcd pa_dced sbca_cm sipa superior_walls tx_tdlr woodworks_mass_timber,26,1748947,1283903,167,0,33.7,16606,7417,164,5308,3772,3839,1469,,,,,,,,G1+ G2+ G3+ G4+ G5+,
